Title,Element 1,Element 2,Element 3,Element 4,Element 5,Element 6,Element 7,Element 8,Element 9,Element 10
w1,164,47,22,126,68,60,46,111,174,126
w2,75,79,169,152,45,178,185,182,139,164
w3,30,38,57,82,123,90,93,22,101,83
w4,160,115,107,12,19,51,11,38,14,117
w5,48,175,143,168,43,136,82,108,169,44
w6,165,113,78,161,20,148,97,59,183,16
w7,108,199,126,111,106,180,45,33,157,164
w8,79,148,124,32,12,85,154,54,159,65
w9,91,15,55,151,53,167,147,96,92,28
w10,24,17,200,180,38,196,53,25,74,43
w11,163,13,125,110,117,151,128,18,121,10
w12,152,191,153,174,135,17,83,141,108,153
w13,102,127,34,20,52,71,81,135,81,181
w14,125,179,14,70,65,147,18,45,85,101
w15,83,42,62,183,110,183,75,141,93,190
